Player_ID,Name,DOB,Salary,Goals,Club_Name
137,Andrea Masiello,1986-02-05,,7,Genoa
138,Sokratis Papastathopoulos,1988-06-09,,11,Betis
139,Cristián Zapata,1986-09-30,,4,Genoa
140,Diego López,1981-11-03,,0,Vallecano
141,Marek Suchy,1988-03-29,,0,Augsburg
142,Mario Mandzukic,1986-05-21,,64,Milan
143,Raúl García,1986-07-11,,79,Ath Bilbao
144,Julian Baumgartlinger,1988-01-02,,7,Augsburg
145,Roberto Soldado,1985-05-27,,59,Levante
146,Axel Witsel,1989-01-12,,13,Girona
147,Marco Reus,1989-05-31,,120,Dortmund
148,Marcel Schmelzer,1988-01-22,,2,Dortmund
149,David McGoldrick,1987-11-29,,10,Sheffield United
150,Stephan Fürstner,1987-09-11,,1,Mainz
151,David Silva,1986-01-08,,56,Sociedad
152,Fernando Llorente,1985-02-26,,45,Udinese
153,Andrea Consigli,1987-01-27,,0,Sassuolo
154,Max Kruse,1988-03-19,,95,Wolfsburg
155,Simon Terodde,1988-03-02,,15,Schalke 04
156,Nikola Kalinic,1988-01-05,,42,Verona
157,Branislav Ivanovic,1984-02-22,,14,West Brom
158,Sascha Burchert,1989-10-30,,0,St Pauli
159,Perparim Hetemaj,1986-12-12,,6,Benevento
160,Shane Long,1987-01-22,,43,Southampton
161,Mario Suárez,1987-02-24,,7,Vallecano
162,Roberto,1986-02-10,,0,Valladolid
163,Winston Reid,1988-07-03,,6,West Ham
164,Dimitri Payet,1987-03-29,,84,Marseille
165,Felipe Caicedo,1988-09-05,,48,Genoa
166,Sebastian Prödl,1987-06-21,,9,Udinese
167,Lee Peltier,1986-12-11,,0,West Brom
168,Robert Lewandowski,1988-08-21,,362,Barcelona
169,Daniel Caligiuri,1988-01-15,,45,Augsburg
170,Federico Di Francesco,1994-06-14,,17,Lecce
171,Ralf Fährmann,1988-09-27,,0,Schalke 04
172,Danny Latza,1989-12-07,,6,Schalke 04
173,Rob Elliot,1986-04-30,,0,Watford
174,Rodrigo Palacio,1982-02-05,,58,Bologna
175,Ádám Szalai,1987-12-09,,45,Mainz
176,Borna Barisic,1992-11-10,,0,Leganes
177,Augusto Fernández,1986-04-10,,10,Cadiz
178,Radamel Falcao,1986-02-10,,107,Vallecano
179,Makoto Hasebe,1984-01-18,,4,Ein Frankfurt
180,Gareth Bale,1989-07-16,,113,Real Madrid
181,Mats Hummels,1988-12-16,,21,Roma
182,Pape Diop,1986-03-19,,10,Eibar
183,Sylvain Marveaux,1986-04-15,,7,Lorient
184,Ludovic Baal,1986-05-24,,0,Brest
185,Mathieu Coutadeur,1986-03-20,,1,Ajaccio
186,Régis Gurtner,1986-12-08,,0,Lens
187,Jens Grahl,1988-09-22,,0,Ein Frankfurt
188,Stefan Ilsanker,1989-05-18,,3,Ein Frankfurt
189,Borja Valero,1985-01-12,,18,Fiorentina
190,Claudio Bravo,1983-04-13,,0,Betis
191,Alexis Sánchez,1988-12-19,,125,Sevilla
192,Ryan Bertrand,1989-08-05,,7,Leicester
193,Jack Cork,1989-06-25,,8,Burnley
194,Milan Badelj,1989-02-25,,14,Genoa
195,Sven Ulreich,1988-08-03,,0,Bayern Munich
196,Manuel Riemann,1988-09-09,,0,Bochum
197,Andreas Luthe,1987-03-10,,0,Bochum
198,Lucas Leiva,1987-01-09,,2,Lazio
199,James McArthur,1987-10-07,,20,Crystal Palace
200,Robert Tesche,1987-05-27,,0,Bochum
201,Danny Blum,1991-01-07,,4,Bochum
202,Simone Aresti,1986-03-15,,0,Cagliari
203,Philipp Bargfrede,1989-03-03,,6,Werder Bremen
204,Tobias Kempe,1989-06-27,,3,Darmstadt
205,Yann Sommer,1988-12-17,,0,Inter
206,Havard Nordtveit,1990-06-21,,8,Hoffenheim
207,Diego Alves,1985-06-24,,0,Celta
208,Jonny Evans,1988-01-03,,13,Man United
209,Salvatore Bocchetti,1986-11-30,,0,Verona
210,Samir Ujkani,1988-07-05,,0,Empoli
211,André Hahn,1990-08-13,,49,Augsburg
212,Nicola Ravaglia,1988-12-12,,0,Sampdoria
213,Fran Mérida,1990-03-04,,1,Espanol
214,Nils Petersen,1988-12-06,,87,Freiburg
215,Nacho Monreal,1986-02-26,,6,Sociedad
216,Gaetano Berardi,1988-08-21,,0,Leeds
217,Pierluigi Frattali,1985-12-01,,0,Frosinone
218,Paul Baysse,1988-05-18,,8,
219,Adam Lallana,1988-05-10,,33,Southampton
220,Erik Pieters,1988-08-07,,2,Burnley
221,Kevin Müller,1991-03-15,,0,Heidenheim
222,Miguel Veloso,1986-05-11,,6,Verona
223,Daniel Brosinski,1988-07-17,,10,Mainz
224,Javi Martínez,1988-09-02,,9,Bayern Munich
225,Kévin Monnet-Paquet,1988-08-19,,21,St Etienne
226,Wojciech Szczęsny,1990-04-18,,0,Barcelona
227,Pedro Mosquera,1988-04-21,,4,Huesca
228,Domenico Criscito,1986-12-30,,17,Genoa
229,Andrea Ranocchia,1988-02-16,,9,Monza
230,Luis Suárez,1987-01-24,,230,Ath Madrid
231,Stefan Radu,1986-10-22,,5,Lazio
232,Cédric Avinel,1986-09-11,,1,Ajaccio
233,Sebastian Rode,1990-10-11,,13,Ein Frankfurt
234,Yannick Cahuzac,1985-01-18,,6,Lens
235,Christian Clemens,1991-08-04,,8,FC Koln
236,Diego Costa,1988-10-07,,102,Wolves
237,Kieran Gibbs,1989-09-26,,1,West Brom
238,Henri Lansbury,1990-10-12,,0,Aston Villa
239,Fernando Forestieri,1990-01-15,,1,Udinese
240,Dan Gosling,1990-02-01,,13,Watford
241,Rui Patrício,1988-02-15,,0,Atalanta
242,Loïc Rémy,1987-01-02,,51,Brest
243,Mario Balotelli,1990-08-12,,75,Genoa
244,Federico Fazio,1987-03-17,,19,Salernitana
245,Adrián López,1988-01-08,,22,Osasuna
246,Samuel Di Carmine,1988-09-29,,8,Cremonese
247,Wayne Hennessey,1987-01-24,,0,Nott'm Forest
248,Joel Obi,1991-05-22,,8,Salernitana
249,Mateo Musacchio,1990-08-26,,3,Milan
250,Eric-Maxim Choupo-Moting,1989-03-23,,58,Bayern Munich
251,Kevin Trapp,1990-07-08,,0,
252,Manuel Gulde,1991-02-12,,7,Freiburg
253,Fabri,1987-12-31,,0,Fulham
254,Sergio Álvarez,1986-08-03,,0,Celta
255,Ivan Radovanovic,1988-08-29,,3,Salernitana
256,Aleksandar Kolarov,1985-11-10,,25,Inter
257,Pablo Hernández,1985-04-11,,8,Leeds
258,Lovre Kalinic,1990-04-03,,0,Aston Villa
259,Ante Budimir,1991-07-22,,97,Osasuna
260,Kamil Glik,1988-02-03,,23,Benevento
261,Andrej Kramaric,1991-06-19,,138,Hoffenheim
262,David Luiz,1987-04-22,,13,Arsenal
263,Ibrahima Traoré,1988-04-21,,11,M'gladbach
264,Mato Jajalo,1988-05-25,,2,Udinese
265,Tony Jantschke,1990-04-07,,3,M'gladbach
266,Mamadou Sakho,1990-02-13,,6,Montpellier
267,Angelo Ogbonna,1988-05-23,,8,West Ham
268,Lukas Hradecky,1989-11-24,,0,Monaco
269,Andy Carroll,1989-01-06,,34,Newcastle
270,Edinson Cavani,1987-02-14,,184,Valencia
271,Lars Stindl,1988-08-26,,77,M'gladbach
272,Simon Kjær,1989-03-26,,5,Milan
273,Richard Weil,1988-02-06,,0,Stuttgart
274,Albin Ekdal,1989-07-28,,6,Spezia
275,Georginio Wijnaldum,1990-11-11,,30,Roma
276,Billy Sharp,1986-02-05,,6,Sheffield United
277,Timothy Chandler,1990-03-29,,11,Ein Frankfurt
278,Dale Stephens,1989-06-12,,1,Burnley
279,Aaron Ramsey,1990-12-26,,40,Nice
280,Danny Rose,1990-07-02,,8,Watford
281,Christian Benteke,1990-12-03,,86,Crystal Palace
282,Eden Hazard,1991-01-07,,89,Real Madrid
283,Fabian Delph,1989-11-21,,7,Everton
284,Anthony Modeste,1988-04-14,,100,FC Koln
285,Stefan Strandberg,1990-07-25,,0,Salernitana
286,Adil Rami,1985-12-27,,9,Troyes
287,Fernando,1987-07-25,,10,Sevilla
288,Nicolás Spolli,1983-02-20,,3,Crotone
289,Darren Randolph,1987-05-12,,0,Bournemouth
290,Michael Lang,1991-02-08,,1,M'gladbach
291,Mateo Kovacic,1994-05-06,,17,Man City
292,Mikel Rico,1984-11-04,,13,Huesca
293,Ángel Rodríguez,1987-04-26,,44,Mallorca
294,Henri Saivet,1990-10-26,,18,Newcastle
295,Pedro León,1986-11-24,,27,Eibar
296,Pedro Alcalá,1989-03-19,,2,Cadiz
297,Kiko Olivas,1988-08-21,,2,Valladolid
298,Sergio Asenjo,1989-06-28,,0,Valladolid
299,Marco Mancosu,1988-08-22,,14,Cagliari
300,Pavao Pervan,1987-11-13,,0,Wolfsburg
301,Stephen Henderson,1988-05-02,,0,Crystal Palace
302,Sebastian Giovinco,1987-01-26,,9,Sampdoria
303,Benjamin Hübner,1989-07-04,,8,Hoffenheim
304,Chris Basham,1988-07-20,,0,Sheffield United
305,Sven Schipplock,1988-11-08,,17,Bielefeld
306,Fraser Forster,1988-03-17,,0,Bournemouth
307,Willian,1988-08-09,,47,Fulham
308,Marcelo,1987-05-20,,9,
309,Jay Rodríguez,1989-07-29,,46,Burnley
310,Dominick Drexler,1990-05-26,,9,Schalke 04
311,Kevin Kampl,1990-10-09,,13,RB Leipzig
312,Bastian Oczipka,1989-01-12,,3,Union Berlin
313,Tolgay Arslan,1990-08-16,,6,Udinese
314,Raúl Fernández,1988-03-13,,0,Alaves
315,Iker Muniain,1992-12-19,,45,Ath Bilbao
316,John Fleck,1991-08-24,,5,Sheffield United
317,Agustín Marchesín,1988-03-16,,0,Celta
318,Ilija Nestorovski,1990-03-12,,19,Udinese
319,Fabian Holland,1990-07-11,,0,Darmstadt
320,Matteo Darmian,1989-12-02,,15,Inter
321,Diego Godín,1986-02-16,,14,Cagliari
322,Martín Cáceres,1987-04-07,,10,Cagliari
323,Diego Perotti,1988-07-26,,32,Salernitana
324,Vincenzo Fiorillo,1990-01-13,,0,Salernitana
325,Oliver Baumann,1990-06-02,,0,Hoffenheim
326,Nicolas Höfler,1990-03-09,,9,Freiburg
327,Javier Pastore,1989-06-20,,19,
328,Ciprian Tatarusanu,1986-02-09,,0,Milan
329,Marco Höger,1989-09-16,,6,FC Koln
330,Henrikh Mkhitaryan,1989-01-21,,71,Inter
331,Harry Arter,1989-12-28,,3,Nott'm Forest
332,Danilo D'Ambrosio,1988-09-09,,21,Monza
333,Marco Sau,1987-11-03,,39,Benevento
334,Cristian Ansaldi,1986-09-20,,9,Torino
335,Pablo Piatti,1989-03-31,,26,
336,Pasquale Schiattarella,1987-05-30,,2,Benevento
337,Luísinho,1985-05-05,,1,Huesca
338,Fabien Lemoine,1987-03-16,,6,Lorient
339,Mattia Mustacchio,1989-05-17,,0,Crotone
340,Sebastien De Maio,1987-03-05,,7,Udinese
341,Sebastian Rudy,1990-02-28,,16,Hoffenheim
342,Péter Gulácsi,1990-05-06,,0,RB Leipzig
343,Jack Rodwell,1991-03-11,,6,Sheffield United
344,Matthieu Dreyer,1989-03-20,,0,Strasbourg
345,Ismaël Traoré,1986-08-18,,17,Metz
346,Giacomo Bonaventura,1989-08-22,,62,Fiorentina
347,Simone Colombi,1991-07-01,,0,Parma
348,Damien Da Silva,1988-05-17,,14,Lyon
349,Lucas Deaux,1988-12-26,,11,Nimes
350,Jean-Armel Kana-Biyik,1989-07-03,,4,Metz
351,Lamine Koné,1989-02-01,,11,Strasbourg
352,Romain Thomas,1988-06-12,,14,Angers
353,César Azpilicueta,1989-08-28,,11,Sevilla
354,Andrés Fernández,1986-12-16,,0,Huesca
355,Timo Kern,1990-01-16,,0,Bayern Munich
356,Klaus Gjasula,1989-12-14,,2,Darmstadt
357,Ramzi Aya,1990-02-08,,0,Salernitana
358,Vitus Eicher,1990-11-05,,0,Heidenheim
359,Jorge Molina,1982-04-22,,67,Granada
360,Tobias Strobl,1990-05-12,,1,Augsburg
361,Álvaro Giménez,1991-05-19,,2,Cadiz
362,Daniel Didavi,1990-02-21,,37,Stuttgart
363,Yoel Rodríguez,1988-08-28,,0,Eibar
364,Julian Schieber,,,14,Augsburg
365,David Abraham,1986-07-15,,6,Ein Frankfurt
366,Petar Skuletic,1990-06-29,,3,Montpellier
367,Víctor Díaz,1988-06-12,,3,Granada
368,Thomas Müller,1989-09-13,,105,Bayern Munich
369,Christian Groß,1989-02-08,,1,Werder Bremen
370,Salva Sevilla,1984-03-18,,17,Mallorca
371,Pierre-Emerick Aubameyang,1989-06-18,,222,Marseille
372,Nacho Fernández,1990-01-18,,12,Real Madrid
373,Anthony Jung,1991-11-03,,4,Freiburg
374,David Alaba,1992-06-24,,23,Real Madrid
375,Roman Bürki,1990-11-14,,0,Dortmund
376,Aleksandar Dragovic,1991-03-06,,3,Leverkusen
377,Marwin Hitz,1987-09-18,,1,Dortmund
378,Cristhian Stuani,1986-10-12,,101,Girona
379,Iago Falque,1990-01-04,,51,Benevento
380,Asier Illarramendi,1990-03-08,,13,Sociedad
381,Diego Mariño,1990-05-09,,0,Almeria
382,David de Gea,1990-11-07,,0,Fiorentina
383,Ángel Montoro,1988-06-25,,4,Granada
384,Dani Parejo,1989-04-16,,67,Villarreal
385,Craig Cathcart,1989-02-06,,4,Watford
386,Simone Iacoponi,1987-04-30,,2,Parma
387,Philipp Klement,1992-09-09,,1,Stuttgart
388,Thiago Alcántara,1991-04-11,,21,Liverpool
389,Valère Germain,1990-04-17,,61,Montpellier
390,Maxime Gonalons,1989-03-10,,7,Clermont
391,Mathieu Gorgelin,1990-08-05,,0,Lens
392,Maxime Le Marchand,1989-10-11,,2,Strasbourg
393,Anthony Lopes,1990-10-01,,0,Nantes
394,Jérémy Pied,1989-02-23,,3,Lille
395,Theodor Gebre Selassie,1986-12-24,,23,Werder Bremen
396,Gary Medel,1987-08-03,,7,Bologna
397,Fabián Orellana,1986-01-27,,40,Valladolid
398,Sebastian Polter,1991-04-01,,19,Darmstadt
399,Bruno Ecuele Manga,1988-07-16,,3,Dijon
400,Karim Bellarabi,1990-04-08,,36,Leverkusen
401,José Callejón,1987-02-11,,68,Granada
402,Senad Lulic,1986-01-18,,24,Lazio
403,Facundo Roncaglia,1987-02-10,,8,Osasuna
404,Marc Albrighton,1989-11-18,,13,Leicester
405,Eunan O'Kane,1990-07-10,,0,Leeds
406,James Tomkins,1989-03-29,,12,Crystal Palace
407,Emmanuel Rivière,1990-03-03,,21,Crotone
408,Jack Colback,1989-10-24,,8,Nott'm Forest
409,Jordan Henderson,1990-06-17,,28,Brentford
410,Conor Hourihane,1991-02-02,,4,Aston Villa
411,Wes Foderingham,1991-01-14,,0,West Ham
412,Antonio Mazzotta,1989-08-02,,0,Crotone
413,Yuri Berchiche,1990-02-10,,15,Ath Bilbao
414,David Button,1989-02-27,,0,West Brom
415,Jake Livermore,1989-11-14,,7,West Brom
416,Adam Smith,1991-04-29,,5,Bournemouth
417,Fábio,1990-07-09,,0,Nantes
418,Michael Esser,1987-11-22,,0,Bochum
419,Stefan Johansen,1991-01-08,,0,Fulham
420,Odion Ighalo,1989-06-16,,24,Man United
421,Abdoulaye Bamba,1990-04-25,,0,Angers
422,Scott Dann,1987-02-14,,13,Crystal Palace
423,Ryder Matos,1993-02-27,,2,Udinese
424,Víctor Ruiz,1989-01-25,,6,Betis
425,Luis Hernández,1989-04-14,,2,Cadiz
426,Jan Moravek,1989-11-01,,2,Augsburg
427,Oier Sanjurjo,1986-05-25,,5,Osasuna
428,Roberto Torres,1989-03-07,,29,Osasuna
429,Roberto Soriano,1991-02-08,,43,Bologna
430,Ashley Barnes,1989-10-30,,37,Burnley
431,Étienne Capoue,1988-07-11,,23,Villarreal
432,Kwadwo Asamoah,1988-12-09,,4,Cagliari
433,Néstor Araújo,1991-08-29,,4,Celta
434,Vicente Guaita,1987-01-10,,0,Celta
435,Bernardo Espinosa,1989-07-11,,6,Girona
436,Leonardo Pavoletti,1988-11-26,,67,Cagliari
437,Sergio Busquets,1988-07-16,,8,Barcelona
438,Jordi Masip,1989-01-03,,0,Valladolid
439,Pedro,1987-07-28,,89,Lazio
440,Jaume Costa,1988-03-18,,4,Mallorca
441,Míchel Herrero,1988-07-29,,10,Valladolid
442,Troy Deeney,1988-06-29,,47,Watford
443,Hal Robson-Kanu,1989-05-21,,14,West Brom
444,Amir Abrashi,1990-03-27,,1,Freiburg
445,Oriol Romeu,1991-09-24,,9,Girona
446,Sergio Canales,1991-02-16,,42,Betis
447,Ahmed Elmohamady,1987-09-09,,5,Aston Villa
448,Lisandro Magallán,1993-09-27,,2,
449,Luke Freeman,1992-03-22,,0,Sheffield United
450,Cheikhou Kouyaté,1989-12-21,,15,Nott'm Forest
451,Danny Welbeck,1990-11-26,,71,Brighton
452,Víctor Laguardia,1989-11-05,,9,Alaves
453,Vitolo,1989-11-02,,23,Ath Madrid
454,Juan Cala,1989-11-26,,9,Cadiz
455,Dídac Vilà,1989-06-09,,0,Espanol
456,Neil Taylor,1989-02-07,,0,Aston Villa
457,Luke Ayling,1991-08-25,,4,Leeds
458,Kyle Bartley,1991-05-22,,3,West Brom
459,Jorge Pulido,1991-04-08,,4,Huesca
460,Rubén Rochina,1991-03-23,,23,Granada
461,Milan Djuric,1990-05-22,,22,Cremonese
462,Andrey Galabinov,1988-11-13,,6,Spezia
463,Borja García,1990-11-02,,6,Girona
464,Neymar,1992-02-05,,150,Paris SG
465,Séamus Coleman,1988-10-11,,18,Everton
466,Yoann Touzghar,1986-11-28,,12,Ajaccio
467,Kevin Strootman,1990-02-13,,13,Genoa
468,Mateo Pavlovic,1990-06-09,,5,Angers
469,Christian Eriksen,1992-02-14,,61,Wolfsburg
470,Jonás Ramalho,1993-06-10,,1,Osasuna
471,Jordi Alba,1989-03-21,,14,Barcelona
472,Marcel Halstenberg,1991-09-27,,12,RB Leipzig
473,Ignasi Miquel,1992-09-28,,1,Granada
474,Jonathan Schmid,1990-06-22,,34,Freiburg
475,Darko Lazović,1990-09-15,,21,Verona
476,Raffaele Di Gennaro,1993-10-03,,0,Inter
477,Nolito,1986-10-15,,64,Celta
478,Javi Moyano,1986-02-23,,0,Valladolid
479,Adrián San Miguel,1987-01-03,,0,Betis
480,Anaitz Arbilla,1987-05-15,,6,Eibar
481,Xabi Etxeita,1987-10-31,,7,Getafe
482,Iago Herrerín,1988-01-25,,0,Valencia
483,Iñigo Pérez,1988-01-18,,3,Osasuna
484,Coke,1987-04-26,,19,Levante
485,David Ferreiro,1988-04-01,,3,Huesca
486,Iago Aspas,1987-08-01,,168,Celta
487,Johan Gastien,1988-01-25,,4,Clermont
488,Vasco Regini,1990-09-09,,0,Sampdoria
489,Geoffrey Lembet,1988-09-23,,0,Rennes
490,Rafael Tolói,1990-10-10,,10,Atalanta
491,Bernd Leno,1992-03-04,,0,Fulham
492,Clément Grenier,1991-01-07,,27,Mallorca
493,Niko Gießelmann,1991-09-26,,4,Union Berlin
494,Vid Belec,1990-06-06,,0,Salernitana
495,Mario Gaspar,1990-11-24,,6,Villarreal
496,Tom Cleverley,1989-08-12,,11,Watford
497,Danny Drinkwater,1990-03-05,,5,Chelsea
498,Ørjan Nyland,1990-09-10,,0,Sevilla
499,Matty James,1991-07-22,,0,Leicester
500,Oliver Norwood,1991-04-12,,2,Sheffield United
501,Jason Steele,1990-08-18,,0,Brighton
502,Duván Zapata,1991-04-01,,124,Torino
503,Davide Faraoni,1991-10-25,,17,Verona
504,Alessandro Tuia,1990-06-08,,1,Lecce
505,Koke,1992-01-08,,34,Ath Madrid
506,Pablo Sarabia,1992-05-11,,57,Wolves
507,Nemanja Gudelj,1991-11-16,,6,Sevilla
508,Gaël Kakuta,1991-06-21,,30,Lens
509,Luka Milivojevic,1991-04-07,,28,Crystal Palace
510,Andrea Rispoli,1988-09-29,,6,Crotone
511,Nemanja Matić,1988-08-01,,9,Sassuolo
512,Ben Mee,1989-09-21,,12,Brentford
513,Mario Götze,1992-06-03,,54,Ein Frankfurt
514,Reinhold Yabo,1992-02-10,,1,Bielefeld
515,Marc-André ter Stegen,1992-04-30,,0,Girona
516,Francis Coquelin,1991-05-13,,5,Nantes
517,Juraj Kucka,1987-02-26,,29,Watford
518,Martin Dúbravka,1989-01-15,,0,Burnley
519,Liam Cooper,1991-08-30,,2,Leeds
520,Carlo Pinsoglio,1990-03-16,,0,Juventus
521,Niclas Füllkrug,1993-02-09,,59,Milan
522,Douglas Costa,1990-09-14,,15,Juventus
523,Christopher Trimmel,1987-02-24,,3,Union Berlin
524,Alexander Meyer,1991-04-13,,0,Dortmund
525,Franco Vázquez,1989-02-22,,39,Sevilla
526,Manu García,1986-04-26,,8,Alaves
